159652	Abditibacterium utsteinense	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	Free Living	False	NULL	0.5427	#Climate, #Environmental	#Cold, #Terrestrial	Top surface sample consisting of weathered granite parent material, elevation 1382 m	https://bacdive.dsmz.de/strain/159652
219	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	anaerobe	0.466	#Infection, #Infection, #Infection, #Host Body Product	#Disease, #Inflammation, #Patient, #Fluids	blood of bacterial endocarditis patient	https://bacdive.dsmz.de/strain/219
144952	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	NULL	NULL	#Host, #Host Body Product, #Infection, #Host Body-Site	#Human, #Oral cavity and Airways, #Patient, #Oral cavity and airways	Human pleural fluid	https://bacdive.dsmz.de/strain/144952
145171	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	NULL	NULL	#Host, #Host Body Product, #Host, #Infection, #Infection	#Human, #Fluids, #Microbial, #Disease, #Patient	Human blood,bacteremia	https://bacdive.dsmz.de/strain/145171
145172	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	microaerophile	NULL	#Host, #Host Body Product, #Infection, #Infection	#Human, #Fluids, #Inflammation, #Patient	Human blood,endocarditis	https://bacdive.dsmz.de/strain/145172
145173	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	NULL	NULL	#Host, #Host Body Product, #Infection, #Infection	#Human, #Fluids, #Inflammation, #Patient	Human blood,endocarditis	https://bacdive.dsmz.de/strain/145173
145174	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	NULL	NULL	#Host, #Host Body Product, #Infection, #Infection	#Human, #Fluids, #Inflammation, #Patient	Human blood,endocarditis	https://bacdive.dsmz.de/strain/145174
145313	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	NULL	NULL	#Host, #Host Body Product, #Infection	#Human, #Fluids, #Patient	Human blood,73-yr-old male	https://bacdive.dsmz.de/strain/145313
145981	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	NULL	NULL	#Host, #Host Body Product, #Infection, #Infection	#Human, #Fluids, #Medical environment, #Patient	Human blood,valve operation	https://bacdive.dsmz.de/strain/145981
146223	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	NULL	NULL	#Host, #Host Body-Site, #Infection, #Infection	#Human, #Organ, #Disease, #Patient	Human eye,66-yr-old man,suspected endophthalmitis	https://bacdive.dsmz.de/strain/146223
146761	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	NULL	NULL	#Host	#Human	Human	https://bacdive.dsmz.de/strain/146761
147157	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	NULL	NULL	#Host, #Host Body-Site, #Infection, #Infection	#Human, #Other, #Disease, #Patient	Human intrathoraxal infection	https://bacdive.dsmz.de/strain/147157
147409	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	NULL	NULL	#Host, #Host Body-Site, #Infection	#Human, #Organ, #Patient	Human eye (glaskroppsaspirat)	https://bacdive.dsmz.de/strain/147409
148055	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	microaerophile	NULL	#Host, #Host Body Product	#Human, #Fluids	Human blood	https://bacdive.dsmz.de/strain/148055
