2	Acetobacter aceti		Culture col. no.: DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	aerobe	0.574	#Engineered, #Environmental	#Food production, #Microbial community	alcohol turned to vinegar
4	Acetobacter pasteurianus	Strain Designation: 190	Culture col. no.: DSM 3509, ATCC 33445, LMD 22.1, JCM 7640, BCRC 14145, CCM 2374, CCUG 18125, CGMCC 1.1810, CIP 103108, ICMP 8808, LMG 1262, NBRC 106471, NCCB 22001, NCIMB 12228, VTT E-97830	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Not Free Living	False			#Engineered, #Engineered, #Host, #Host Body-Site	#Food production, #Food production, #Plants, #Plant	beer
11	Acetobacter pomorum		Culture col. no.: DSM 11825, LTH 2458	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	aerobe	0.505	#Engineered, #Engineered, #Engineered	#Food production, #Industrial, #Food production	industrial cider vinegar fermentation
17	Acetobacter tropicalis		Culture col. no.: DSM 15551, IFO 16470, NBRC 16470, NRIC 0312, JCM 10947, BCRC 17166, LMG 19825	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False		0.559	#Host Body-Site, #Host Body Product	#Plant, #Plant	coconut juice, Cioccos nucifera
20	Acetobacter nitrogenifigens	Strain Designation: RG1	Culture col. no.: DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	aerobe	0.641	#Engineered, #Engineered	#Food production, #Food production	Kombucha tea
24	Acetobacter pasteurianus	Strain Designation: L. 1374	Culture col. no.: DSM 2347, ATCC 12874, NCIB 8618, IFO 13755, JCM 25077, ATCC 12784, BCRC 12954, CCM 3615, CCUG 18131, KACC 19721, LMG 1635, NBRC 13755, NCCB 88049, NCCB 89009, NCIMB 8618, NRIC 0475	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False		0.625			Ditch water
26	Acidiphilium cryptum	Strain Designation: Lhet2	Culture col. no.: DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Free Living	False	aerobe	0.698	#Engineered, #Environmental, #Environmental	#Other, #Aquatic, #Terrestrial	coal mine water
27	Acidiphilium cryptum	Strain Designation: KG-4, KG-4p	Culture col. no.: DSM 2390	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Free Living	False		0.681	#Engineered, #Engineered, #Environmental	#Other, #Waste, #Terrestrial	copper mine effluent
28	Acidiphilium cryptum	Strain Designation: 44het, AP-44	Culture col. no.: DSM 2613	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Free Living	False		0.7	#Engineered, #Environmental, #Condition	#Other, #Aquatic, #Acidic	acid mine water
29	Acidiphilium cryptum	Strain Designation: N-Het2	Culture col. no.: DSM 9467	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Free Living	False		0.656	#Engineered	#Bioreactor	bioleaching reactor
